Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1308,7,1,0,1,6,1,1,79,1,9,9,5,3,1,1,1,0,1,0,3,11,0,100,85,100,85,100,50,85,85,50,70,85,50,100,85,85,100,50,100,50,1
1309,7,1,0,1,2,2,4,68,6,14,14,5,0,1,1,1,0,1,1,3,14,0,40,85,85,70,60,30,40,50,50,30,50,50,50,50,15,85,50,85,100,1
1310,3,3,0,1,2,2,8,26,6,13,13,8,3,1,3,1,0,1,1,1,10,0,15,70,70,60,70,40,50,70,85,30,40,60,50,85,15,70,85,100,70,1
1311,7,1,0,1,99,1,7,63,4,10,7,5,0,2,1,1,0,1,2,1,2,0,40,60,100,50,100,85,50,40,50,1,100,50,50,100,1,70,50,100,100,1
1312,7,1,2,1,7,1,4,54,4,13,0,1,0,1,1,1,0,1,1,1,9,0,50,1,1,1,100,50,100,50,50,30,50,50,100,100,100,100,40,1,1,1
1313,1,4,2,2,6,2,8,54,4,9,0,1,2,1,1,1,0,2,1,2,1,0,1,50,1,50,50,70,85,50,1,50,50,1,1,50,50,100,1,50,1,1
1314,3,4,0,1,4,2,4,46,1,13,13,1,3,1,1,1,0,1,1,2,22,0,60,50,50,50,70,40,50,50,50,40,30,50,50,50,50,85,50,70,50,1
1315,5,3,0,1,99,1,5,30,1,11,10,7,2,1,1,1,0,1,1,1,14,1,50,100,50,100,50,50,70,50,100,30,40,50,100,100,15,100,50,50,50,1
1316,7,1,0,1,4,1,2,40,1,13,10,1,2,2,3,4,4,1,1,1,8,0,70,51,71,61,71,71,42,61,50,60,61,40,99,69,51,51,51,61,60,1
1317,4,3,0,1,5,2,1,56,4,13,0,1,3,1,3,1,0,1,1,1,17,0,16,50,59,42,84,59,84,61,71,50,52,71,60,60,52,84,59,97,40,1
1318,7,2,0,1,3,2,1,50,1,14,13,1,0,1,1,1,0,1,1,2,27,0,20,50,60,50,60,35,40,60,50,15,50,50,70,75,10,70,30,80,35,1
1319,7,2,1,1,2,1,4,45,1,14,9,1,0,1,1,1,0,1,1,2,22,0,15,85,60,60,85,60,30,70,70,50,60,70,70,70,998,85,70,85,60,1
1320,4,3,4,1,99,1,1,28,1,9,9,4,2,1,1,1,0,1,1,1,1,0,94,3,50,80,70,48,30,61,4,46,2,49,100,80,32,100,3,68,60,1
1321,7,2,0,1,2,1,2,67,3,16,9,1,0,1,1,1,0,1,1,1,6,0,15,50,50,50,50,40,50,60,50,15,60,60,50,60,1,70,50,70,40,1
1322,7,3,0,1,99,1,1,74,3,12,0,1,0,1,1,1,0,2,0,3,12,0,50,50,0,70,70,40,50,50,50,50,15,50,70,50,50,70,50,70,15,1
1323,7,1,4,1,7,1,4,78,1,9,8,5,0,1,1,1,0,1,2,3,8,0,99,51,17,51,85,70,99,62,60,60,85,61,99,100,99,100,40,71,1,1
1324,7,2,0,1,2,2,8,47,1,11,9,1,2,1,1,1,0,1,1,2,19,0,1,100,85,60,100,1,1,40,100,1,50,85,15,100,1,85,100,85,70,1
1325,4,4,1,1,3,2,8,25,6,10,0,2,2,3,2,1,0,1,1,4,12,0,50,75,50,75,75,30,50,50,100,50,30,85,50,100,50,50,100,85,50,1
1326,5,3,2,1,99,2,2,50,4,10,8,1,0,1,1,1,0,1,1,4,22,0,999,50,50,40,60,30,50,60,50,50,50,50,70,60,50,70,40,50,30,1
1327,4,2,2,1,6,2,1,35,1,10,10,1,2,1,1,1,0,1,1,2,12,0,1,50,40,59,0,61,97,58,99,61,50,62,30,0,0,98,98,0,1,1
1328,7,2,0,1,4,1,4,70,4,9,0,6,3,1,1,1,0,1,1,3,4,0,50,50,50,70,60,40,50,50,50,50,40,50,60,50,50,70,50,70,50,1
1329,3,3,4,1,4,1,8,51,3,14,0,1,3,1,1,1,0,1,1,2,23,0,50,50,70,85,100,85,70,85,85,40,85,100,100,100,40,85,85,85,85,1
1330,7,2,0,1,1,2,6,28,1,14,14,1,0,1,1,1,0,1,1,2,27,0,10,100,85,85,100,60,40,60,100,5,50,80,50,80,1,75,100,100,90,1
1331,7,3,0,1,2,2,8,39,4,14,0,1,3,3,3,1,0,1,1,2,5,0,15,85,85,100,100,15,15,85,100,30,40,100,100,100,1,70,100,100,100,1
1332,5,3,2,1,5,1,2,20,6,12,0,1,0,1,1,1,0,1,1,4,26,0,100,15,40,70,85,60,70,0,50,40,50,50,100,70,70,60,50,30,40,1
1333,6,4,0,1,99,1,4,84,3,10,0,5,0,1,1,1,0,2,1,4,5,0,50,50,50,50,70,50,50,60,50,60,50,50,70,70,50,70,50,50,40,1
1334,7,3,0,1,6,1,4,41,1,13,13,7,0,1,1,1,0,1,1,2,27,0,50,15,20,25,50,60,75,40,50,10,50,50,75,50,75,90,50,50,15,1
1335,6,1,2,1,6,1,4,83,1,13,14,5,0,1,1,1,0,1,2,3,18,0,50,1,15,1,85,60,85,60,50,40,60,15,85,85,70,85,15,70,1,1
