Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
374,0,0,0,1,99,1,2,42,4,14,7,1,0,1,1,1,0,1,1,2,20,0,50,50,50,50,60,15,50,50,70,50,40,50,70,85,0,100,50,100,85,1
399,7,2,0,1,4,1,5,60,4,14,9,4,0,5,2,1,0,1,1,1,5,0,50,50,50,60,60,60,50,50,50,60,50,50,50,70,50,100,50,85,70,2
1357,7,4,0,1,99,1,1,53,4,11,9,1,1,1,1,1,0,2,1,1,7,0,50,15,50,70,60,50,50,70,1,50,50,1,100,1,50,100,1,70,1,2
1763,7,3,0,1,99,1,4,48,1,9,0,6,3,1,1,1,0,1,1,2,15,0,50,50,50,70,100,50,50,85,50,40,50,100,100,100,50,100,50,85,50,2
1314,7,1,0,1,5,1,4,78,1,10,5,5,3,1,1,1,0,1,0,3,12,0,51,32,50,16,60,17,62,33,62,50,62,62,87,71,18,85,60,42,86,1
2373,7,2,0,1,6,2,8,37,1,16,6,1,0,1,1,1,0,1,1,2,28,0,14,29,26,23,67,74,71,64,98,29,51,78,51,73,26,76,68,79,32,1
2186,5,4,0,1,99,2,7,26,6,10,9,1,0,5,1,1,0,1,1,1,7,0,17,100,64,53,72,59,49,42,99,53,51,55,31,65,52,72,87,87,84,1
1689,7,1,0,1,3,2,8,31,1,14,1,1,3,1,1,1,0,1,1,1,15,0,30,75,40,35,75,40,30,85,75,10,45,75,75,75,20,65,75,90,80,1
1843,0,0,0,1,3,2,8,23,6,9,13,1,0,1,1,1,0,1,1,1,9,0,40,16,60,15,50,1,45,30,70,4,41,59,58,60,2,61,51,99,30,1
1718,1,4,0,1,99,2,8,64,4,16,20,1,0,3,3,4,2,1,1,1,24,0,16,15,49,1,51,50,60,60,50,60,70,17,59,51,30,60,15,70,16,1
2020,4,3,0,1,3,1,5,62,4,11,7,1,2,1,1,1,0,2,2,1,5,0,50,50,50,70,60,70,70,85,50,70,40,50,70,70,85,60,50,60,0,2
1839,7,3,0,1,6,1,5,61,1,10,15,6,2,1,1,1,0,1,1,3,1,0,2,76,85,52,52,1,15,31,40,40,3,41,15,85,53,40,85,99,16,1
994,1,4,0,1,99,1,2,41,4,12,3,1,2,1,1,1,0,1,1,3,5,2,53,2,54,53,62,51,53,75,17,63,62,1,88,87,53,100,1,52,2,2
1482,0,0,0,1,4,1,4,31,6,13,3,1,0,1,1,1,0,1,1,2,17,2,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,100,50,60,50,2
1770,7,1,0,1,6,1,4,63,1,10,17,1,2,5,1,1,0,1,1,2,12,2,60,0,15,50,85,30,30,30,0,15,0,1,85,0,85,100,0,70,0,2
1917,3,4,0,1,4,1,7,19,1,13,16,7,0,1,1,1,0,1,1,2,27,2,50,60,50,50,60,50,70,50,50,40,50,100,100,100,50,100,30,85,60,2
2062,7,3,0,1,6,2,8,77,1,9,17,5,3,1,1,1,0,1,1,3,15,2,50,50,30,30,15,30,60,70,50,50,60,30,70,60,40,100,50,100,15,2
866,2,4,0,1,6,1,5,54,1,9,0,1,0,1,1,1,0,1,1,2,21,2,100,88,72,100,100,73,86,15,90,16,89,99,100,100,50,99,93,55,91,2
1222,5,2,0,1,6,1,5,28,6,14,4,1,3,1,1,1,0,1,1,1,17,2,95,10,15,71,69,55,100,100,51,1,33,12,99,85,85,85,6,85,1,2
925,5,3,0,1,99,2,4,61,4,9,15,1,2,1,1,1,0,1,1,1,13,2,100,61,52,59,73,41,69,72,50,71,51,73,100,72,53,83,50,72,15,1
1105,6,1,0,1,5,2,6,60,1,10,4,4,2,1,1,1,0,1,1,1,6,2,50,60,40,30,70,40,70,40,50,15,50,60,70,70,60,70,50,70,70,2
1065,7,3,0,1,6,1,2,46,6,6,14,4,1,1,1,1,0,2,1,1,3,2,100,1,1,85,85,60,70,15,1,15,60,30,100,85,15,60,1,70,1,2
213,1,4,0,1,4,2,1,25,6,11,9,1,2,1,1,1,0,1,1,4,4,2,46,50,19,44,45,35,49,42,63,40,16,54,52,41,48,55,47,33,50,2
2369,6,4,0,2,3,2,8,29,1,13,10,1,3,1,1,1,0,1,1,2,23,2,17,85,61,50,90,31,17,31,87,41,40,86,16,87,30,41,87,100,88,1
728,6,2,0,2,6,1,1,29,6,8,19,1,2,5,1,1,0,1,0,1,28,2,97,18,32,52,99,62,69,32,42,15,87,41,97,98,38,2,40,86,99,2
798,6,2,0,1,4,1,5,50,4,13,1,1,3,1,1,1,0,1,2,2,23,1,1,50,60,40,85,70,70,85,70,15,85,70,100,100,50,100,85,100,15,2
1249,5,3,0,1,99,1,5,30,1,11,0,7,2,1,1,1,0,1,1,1,14,1,50,100,50,100,50,50,70,50,100,30,40,50,100,100,15,100,50,50,50,1
1546,7,4,0,1,4,1,4,57,3,10,2,1,0,4,1,1,0,1,1,1,9,1,70,50,50,60,85,70,70,50,50,50,50,85,60,60,100,100,50,100,60,1
1690,7,4,0,1,99,2,8,31,6,9,15,7,0,5,1,1,0,1,1,4,9,1,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,85,100,1
2316,7,4,0,1,99,1,5,21,6,10,7,1,1,3,1,1,0,2,1,1,8,1,60,50,50,60,100,50,1,70,50,70,50,50,100,50,50,100,50,1,70,1
1362,2,4,0,1,99,2,8,21,6,9,17,1,2,1,1,1,0,2,1,1,5,1,1,100,100,50,100,1,1,50,100,25,1,100,15,100,50,90,100,70,90,1
1621,7,1,0,1,3,1,4,64,1,13,9,1,3,1,1,1,0,1,1,3,15,1,54,82,65,52,71,31,72,63,72,25,16,66,86,81,4,87,84,77,50,1
2266,7,5,0,1,5,1,2,59,6,8,8,6,3,2,1,1,0,2,0,1,8,1,70,40,70,50,100,70,60,85,30,50,50,60,85,40,5,85,60,100,100,1
2275,5,3,0,1,99,2,4,27,6,7,9,7,1,5,3,1,0,1,1,1,4,1,50,85,85,85,85,70,85,70,85,60,85,85,85,85,50,85,85,85,85,1
