Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,Vote
374,7,0,0,1,99,1,2,42,4,14,0,1,0,1,1,1,0,1,1,2,20,1
399,5,2,0,1,4,1,5,60,4,14,0,4,0,5,2,1,0,1,1,1,5,2
1357,4,4,0,1,99,1,1,53,4,11,0,1,1,1,1,1,0,2,1,1,7,2
1763,2,3,0,1,99,1,4,48,1,9,9,6,3,1,1,1,0,1,1,2,15,2
1314,2,1,0,1,5,1,4,78,1,10,10,5,3,1,1,1,0,1,0,3,12,1
2373,1,2,0,1,6,2,8,37,1,16,14,1,0,1,1,1,0,1,1,2,28,1
2186,3,4,0,1,99,2,7,26,6,10,10,1,0,5,1,1,0,1,1,1,7,1
1689,2,1,0,1,3,2,8,31,1,14,13,1,3,1,1,1,0,1,1,1,15,1
1843,3,0,0,1,3,2,8,23,6,9,0,1,0,1,1,1,0,1,1,1,9,1
1718,6,4,0,1,99,2,8,64,4,16,0,1,0,3,3,4,2,1,1,1,24,1
2020,6,3,0,1,3,1,5,62,4,11,0,1,2,1,1,1,0,2,2,1,5,2
1839,4,3,0,1,6,1,5,61,1,10,9,6,2,1,1,1,0,1,1,3,1,1
994,6,4,0,1,99,1,2,41,4,12,0,1,2,1,1,1,0,1,1,3,5,2
1482,5,0,0,1,4,1,4,31,6,13,0,1,0,1,1,1,0,1,1,2,17,2
1770,5,1,0,1,6,1,4,63,1,10,9,1,2,5,1,1,0,1,1,2,12,2
1917,1,4,0,1,4,1,7,19,1,13,14,7,0,1,1,1,0,1,1,2,27,2
2062,6,3,0,1,6,2,8,77,1,9,10,5,3,1,1,1,0,1,1,3,15,2
866,3,4,0,1,6,1,5,54,1,9,9,1,0,1,1,1,0,1,1,2,21,2
1222,2,2,0,1,6,1,5,28,6,14,13,1,3,1,1,1,0,1,1,1,17,2
925,2,3,0,1,99,2,4,61,4,9,0,1,2,1,1,1,0,1,1,1,13,1
1105,6,1,0,1,5,2,6,60,1,10,10,4,2,1,1,1,0,1,1,1,6,2
1065,5,3,0,1,6,1,2,46,6,6,0,4,1,1,1,1,0,2,1,1,3,2
213,2,4,0,1,4,2,1,25,6,11,0,1,2,1,1,1,0,1,1,4,4,2
2369,2,4,0,2,3,2,8,29,1,13,13,1,3,1,1,1,0,1,1,2,23,1
728,5,2,0,2,6,1,1,29,6,8,0,1,2,5,1,1,0,1,0,1,28,2
798,3,2,0,1,4,1,5,50,4,13,0,1,3,1,1,1,0,1,2,2,23,2
1249,5,3,0,1,99,1,5,30,1,11,10,7,2,1,1,1,0,1,1,1,14,1
1546,4,4,0,1,4,1,4,57,3,10,0,1,0,4,1,1,0,1,1,1,9,1
1690,2,4,0,1,99,2,8,31,6,9,9,7,0,5,1,1,0,1,1,4,9,1
2316,3,4,0,1,99,1,5,21,6,10,0,1,1,3,1,1,0,2,1,1,8,1
1362,7,4,0,1,99,2,8,21,6,9,9,1,2,1,1,1,0,2,1,1,5,1
1621,5,1,0,1,3,1,4,64,1,13,9,1,3,1,1,1,0,1,1,3,15,1
2266,6,5,0,1,5,1,2,59,6,8,0,6,3,2,1,1,0,2,0,1,8,1
2275,4,3,0,1,99,2,4,27,6,7,6,7,1,5,3,1,0,1,1,1,4,1
1822,4,4,0,2,99,2,4,28,6,12,0,4,2,1,1,1,0,1,1,4,18,1
858,5,2,0,1,3,2,4,0,1,14,15,1,3,1,1,1,0,1,0,2,0,1
1798,1,2,0,1,2,2,8,65,1,16,14,5,3,1,1,1,0,1,1,3,23,1
882,4,2,0,1,5,1,5,44,6,12,9,1,2,1,1,1,0,1,1,1,10,2
18,3,2,0,2,3,2,8,19,6,10,0,8,1,5,3,1,0,1,0,4,6,1
2312,1,2,0,1,99,2,8,41,6,9,9,1,2,2,1,1,0,2,1,1,7,1
1109,4,3,0,1,99,2,8,38,6,10,0,1,0,5,3,1,0,1,1,3,25,1
1941,7,3,0,2,99,2,8,30,6,0,0,1,2,5,0,0,0,0,0,1,0,1
863,5,3,0,2,4,1,2,41,4,11,0,1,0,5,1,2,0,2,1,1,7,1
1096,1,2,0,1,99,1,5,26,1,10,10,4,3,2,1,1,0,1,1,1,5,1
1902,4,3,0,1,4,1,2,90,3,9,0,5,0,1,1,1,0,2,2,1,2,1
313,2,3,1,1,5,1,4,47,1,14,14,1,0,1,3,1,0,1,1,3,26,1
1913,2,1,0,1,2,2,8,45,1,13,10,1,0,1,1,1,0,1,1,2,15,1
2192,5,4,1,1,4,1,4,66,1,11,13,1,0,5,3,4,2,1,1,1,9,1
3,1,4,0,1,4,1,4,58,4,11,0,1,0,1,1,1,0,1,1,2,17,2
9,7,3,0,1,2,1,1,71,6,12,0,5,3,1,1,1,0,1,1,2,11,1
20,4,4,4,1,99,1,4,54,1,9,13,7,0,1,1,1,0,1,1,2,27,2
26,4,2,1,1,3,2,8,22,6,9,9,8,1,5,2,1,0,1,1,4,13,1
27,4,1,0,1,99,1,4,72,3,11,0,5,1,5,2,1,0,2,1,4,5,1
33,5,2,0,1,7,1,2,57,1,14,13,1,3,1,2,4,1,1,1,3,0,2
34,1,2,1,1,3,1,4,40,6,95,0,1,0,1,1,1,0,1,1,2,5,1
53,3,1,2,1,99,2,5,38,1,14,14,1,3,1,1,1,0,1,1,4,19,2
56,2,4,1,1,99,1,1,60,4,10,0,6,1,1,1,1,0,1,2,3,2,2
62,4,3,0,1,6,1,5,32,1,10,10,1,2,1,1,1,0,2,1,2,17,2
66,7,4,1,1,2,1,4,65,4,9,8,1,2,5,3,4,2,2,1,4,17,1
70,7,4,0,1,4,1,4,25,6,14,0,1,0,1,1,1,0,1,1,4,26,2
75,6,5,0,1,6,2,5,25,6,13,0,1,0,1,1,1,0,1,1,4,23,2
76,3,1,1,1,2,2,8,55,1,13,14,1,3,1,1,1,0,1,1,2,26,1
77,5,2,0,1,4,1,2,54,4,14,0,1,3,1,1,1,0,1,1,2,24,1
78,5,2,4,1,99,2,8,85,1,9,9,5,0,1,1,1,0,1,0,3,11,2
85,7,2,4,1,4,1,4,45,1,13,13,1,3,1,1,1,0,1,1,2,25,2
89,1,2,0,1,6,1,4,55,4,9,13,7,0,5,1,1,0,1,0,2,21,2
92,5,3,2,1,5,1,1,38,1,10,9,1,2,1,1,1,0,1,1,2,23,2
96,6,3,0,1,4,1,8,65,1,10,9,1,3,1,1,1,0,1,1,3,1,1
99,1,1,0,1,5,1,5,49,4,13,0,6,0,1,1,1,0,1,1,4,1,2
102,2,4,0,1,4,1,1,56,1,13,13,7,3,1,1,1,0,1,1,2,1,2
103,1,4,4,2,99,2,4,34,6,9,9,4,1,5,3,4,0,2,0,4,0,1
108,4,3,1,1,2,1,4,66,1,16,13,5,0,1,1,1,0,1,1,2,16,1
112,6,1,0,1,6,1,2,32,1,13,14,1,3,1,1,1,0,1,1,2,17,2
121,4,2,1,1,4,1,2,55,4,9,0,6,1,6,1,1,0,1,1,3,2,2
124,6,1,0,1,4,1,2,46,1,10,11,1,0,1,1,1,0,1,1,3,23,2
130,1,1,0,1,7,1,2,78,4,10,0,1,3,1,1,1,0,1,2,3,7,2
144,5,3,0,1,2,1,5,39,1,13,9,1,0,1,1,1,0,1,1,2,20,2
147,2,2,0,1,2,2,5,58,4,95,0,6,1,1,1,1,0,1,1,3,1,1
149,2,4,0,1,4,1,4,58,6,12,0,8,1,6,1,1,0,1,2,1,1,1
154,7,3,4,1,6,1,2,32,1,13,13,7,0,5,1,1,0,1,1,1,22,2
157,1,2,2,1,6,1,2,33,1,10,13,1,0,1,1,1,0,1,1,3,17,2
173,3,2,0,1,5,1,4,24,5,10,0,8,0,4,1,1,0,1,1,1,1,1
176,3,0,4,1,6,1,2,19,6,10,0,8,0,1,1,1,0,1,1,4,21,2
177,7,3,2,1,2,2,4,50,1,9,11,6,0,1,1,1,0,1,1,1,12,2
179,2,3,0,1,5,1,5,40,1,14,13,1,3,5,2,1,0,1,1,2,15,2
183,2,1,0,1,6,1,1,45,6,11,0,1,3,1,1,1,0,1,1,1,20,2
187,3,2,2,1,6,1,1,53,1,13,10,1,0,1,1,1,0,1,0,2,21,2
199,2,1,0,1,7,1,4,59,1,11,11,1,3,1,1,1,0,1,1,1,22,2
203,7,1,0,1,5,1,4,60,4,13,14,1,3,5,2,1,0,1,1,2,14,2
205,5,3,0,1,6,1,1,80,1,10,11,5,0,1,1,1,0,1,1,3,11,2
207,4,2,0,1,6,1,1,75,1,11,11,5,0,1,1,1,0,1,2,3,17,2
208,5,2,0,1,4,1,4,53,1,9,9,1,0,1,1,1,0,1,2,2,12,2
210,7,1,0,1,6,1,2,62,3,11,0,1,0,1,1,1,0,1,1,1,14,2
217,1,2,2,1,6,1,4,56,1,9,10,7,3,1,1,1,0,1,2,3,14,2
221,2,3,0,1,6,1,1,27,1,13,14,1,2,1,1,1,0,1,1,2,14,2
222,1,2,1,1,2,2,8,52,4,10,13,1,0,1,1,1,0,1,1,2,25,1
223,6,4,2,1,99,2,1,56,1,10,9,1,3,1,1,1,0,1,2,2,0,1
231,4,2,2,1,6,1,4,80,1,10,9,5,0,1,3,1,0,1,2,2,17,2
238,5,2,2,2,3,2,8,32,6,12,0,1,0,1,1,1,0,1,1,1,3,2
239,5,1,2,1,5,1,2,47,6,12,0,1,3,1,1,1,0,1,1,3,16,2
247,5,3,0,1,3,1,2,42,1,14,13,1,3,1,1,1,0,1,1,2,23,1
248,6,4,1,1,99,1,4,57,1,9,9,1,0,5,3,4,4,1,1,1,15,1
252,7,1,0,2,99,1,5,57,4,9,7,4,0,1,1,1,0,1,1,1,3,2
253,1,1,0,1,2,2,4,65,1,13,13,5,4,1,1,1,0,1,1,3,27,1
262,6,2,1,1,4,1,4,86,1,7,7,5,2,1,1,1,0,1,0,3,13,1
266,1,2,2,1,6,1,5,73,1,10,12,5,0,1,1,1,0,1,1,3,0,2
282,4,3,2,1,4,1,5,62,1,9,11,1,0,5,2,1,0,1,1,2,21,2
284,5,2,0,1,3,1,4,59,3,9,9,7,1,1,1,1,0,1,1,3,7,2
288,3,1,0,1,7,1,4,49,1,10,13,1,1,5,1,1,0,1,1,4,19,2
290,2,2,0,1,99,1,5,66,3,9,0,1,0,1,3,1,0,1,1,2,14,1
292,6,2,0,1,99,1,8,73,3,6,0,7,0,1,1,1,0,2,2,3,3,2
293,3,1,2,1,6,2,4,55,4,11,0,1,3,5,1,1,0,1,1,1,19,2
306,1,2,2,1,5,1,8,66,1,13,6,5,3,6,1,1,0,1,1,3,0,2
308,4,1,4,1,6,1,4,22,6,9,10,1,0,1,1,1,0,1,1,2,16,2
315,4,1,1,1,2,1,1,64,1,14,10,5,3,1,1,1,0,1,1,3,24,1
319,3,3,0,1,4,1,4,62,1,9,11,1,2,1,1,1,0,1,2,3,13,1
324,6,2,0,1,99,1,2,80,1,10,13,5,3,1,1,1,0,1,1,3,22,2
325,1,2,2,1,5,1,5,45,1,13,10,1,3,1,1,1,0,1,1,1,20,2
327,5,3,0,1,7,1,2,0,1,10,11,1,0,1,1,1,0,1,1,2,23,2
329,7,1,2,1,6,1,2,72,4,10,0,1,0,1,1,1,0,1,2,3,6,2
336,6,3,0,1,6,1,1,72,1,13,10,5,3,1,1,1,0,1,1,2,15,2
341,2,4,0,1,6,1,2,31,1,13,13,7,3,1,1,1,0,1,1,2,22,2
342,5,3,0,1,6,1,5,58,4,13,0,1,0,1,1,1,0,1,1,2,13,2
345,4,3,2,1,6,1,2,34,1,13,10,7,2,1,1,1,0,1,1,1,13,2
361,4,4,5,1,3,1,5,60,3,10,0,4,3,1,1,1,0,1,1,1,21,1
367,2,3,1,1,99,1,4,68,3,5,0,5,3,1,1,1,0,2,2,1,5,2
368,4,2,4,1,5,1,4,68,1,8,8,1,0,5,3,4,4,1,1,2,1,1
377,2,4,0,1,99,0,4,38,4,10,9,1,3,1,1,1,0,1,1,3,11,2
379,2,0,0,2,99,1,5,20,6,9,0,1,2,1,1,1,0,1,1,1,17,2
383,3,2,1,1,99,2,0,35,1,10,13,1,2,1,1,1,0,1,1,2,21,2
388,6,3,2,1,99,2,8,59,1,9,9,1,2,1,1,1,0,1,1,2,25,2
394,7,2,0,1,6,2,8,73,1,10,10,5,0,1,1,1,0,1,0,2,17,2
400,2,3,2,1,99,2,4,54,4,9,8,1,0,1,1,1,0,1,1,2,11,2
402,3,3,2,1,4,1,7,34,1,11,14,1,0,1,1,1,0,1,1,2,14,2
437,6,3,2,1,6,1,1,57,1,12,12,5,0,1,1,1,0,1,1,3,23,2
440,7,2,0,1,99,1,4,66,6,14,0,5,3,5,3,1,0,2,0,3,11,1
442,6,2,4,1,6,1,4,65,1,14,13,5,0,1,1,1,0,1,1,2,22,2
443,6,2,0,1,4,2,5,59,4,11,0,5,0,1,1,1,0,1,2,2,13,1
444,4,1,1,1,2,2,8,70,4,12,0,5,0,1,1,1,0,1,1,2,0,1
448,5,1,1,1,2,1,4,80,1,13,13,5,0,1,1,1,0,1,1,3,20,1
452,7,3,0,1,6,1,2,68,4,10,0,5,0,1,1,1,0,1,1,2,15,2
453,7,1,4,1,1,2,8,28,1,14,14,1,0,6,1,1,0,1,1,2,23,1
459,2,3,0,1,1,2,5,30,6,10,0,1,2,2,1,1,0,1,1,1,12,1
465,6,2,0,1,6,1,4,76,3,10,0,5,0,1,0,0,0,1,1,3,9,2
470,6,2,2,1,5,1,1,0,1,11,10,1,0,6,2,1,0,1,1,3,0,2
483,1,1,2,1,7,1,4,85,3,10,13,5,4,1,1,1,0,1,1,3,26,2
