Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
2369,1,5,4,1,5,1,1,97,6,14,-1,8,3,1,1,1,0,1,1,1,19,2,80,20,30,50,50,40,50,50,40,10,50,60,90,80,50,60,30,70,20,0
2370,6,4,0,2,3,2,8,29,1,13,13,1,3,1,1,1,0,1,1,2,23,2,17,85,61,50,90,31,17,31,87,41,40,86,16,87,30,41,87,100,88,1
2371,4,4,0,1,6,1,4,70,1,13,10,5,0,1,1,1,0,1,2,3,9,0,50,51,30,40,85,60,70,70,50,30,60,40,100,85,50,85,50,85,50,2
2372,4,4,0,1,4,1,4,62,1,9,11,1,0,1,1,1,0,2,2,3,1,0,50,60,30,60,60,70,85,50,60,70,70,40,100,50,0,85,30,100,15,2
2373,7,4,4,1,5,2,8,48,1,14,14,1,0,3,3,4,4,1,1,2,17,0,40,50,15,30,50,40,40,50,50,30,50,30,50,50,40,60,50,100,15,2
2374,7,2,0,1,6,2,8,37,1,16,14,1,0,1,1,1,0,1,1,2,28,4,14,29,26,23,67,74,71,64,98,29,51,78,51,73,26,76,68,79,32,1
2375,6,3,0,1,4,1,5,36,1,13,13,7,3,5,1,1,0,1,1,2,21,0,40,30,60,50,85,15,60,40,40,40,50,40,100,85,70,85,40,70,30,2
2376,1,1,1,1,99,1,4,59,6,10,0,6,2,6,1,1,0,1,2,1,8,0,60,50,60,50,50,40,60,50,70,30,50,50,70,50,50,60,50,70,85,1
2377,3,3,2,1,99,2,8,66,6,13,0,4,4,6,1,1,0,2,0,1,3,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,85,50,2
2378,5,2,0,2,5,1,4,73,3,13,0,1,3,1,1,1,0,1,1,2,0,0,70,50,40,50,100,70,85,70,40,30,50,50,100,100,85,100,40,85,1,2
2379,7,2,0,1,4,1,6,65,1,15,13,1,3,1,2,1,0,1,1,2,0,0,50,40,50,70,60,40,50,40,60,40,60,60,60,100,1,50,60,85,40,1
2380,7,2,2,1,7,1,2,59,1,9,9,7,0,1,1,1,0,1,0,2,14,0,99,1,51,37,87,24,99,87,1,52,52,1,99,99,52,94,1,74,1,2
2381,5,2,0,1,4,1,8,44,1,12,11,7,2,2,1,1,0,1,1,1,18,0,17,31,66,64,62,46,39,65,62,55,60,63,50,62,31,84,64,80,100,1
2382,7,3,2,2,4,2,4,50,6,10,0,1,2,1,1,1,0,1,2,4,3,0,50,50,50,15,75,45,60,50,50,20,50,5,50,85,50,95,50,80,1,2
2383,1,2,2,1,6,1,2,58,6,10,0,1,2,1,1,1,0,1,1,1,17,0,100,40,15,60,70,60,100,60,40,40,30,15,100,100,50,85,15,40,15,2
2384,7,1,0,1,7,1,2,82,3,14,0,5,3,1,1,1,0,1,1,3,19,0,100,30,1,1,85,60,100,70,1,60,70,50,100,70,60,85,1,30,1,2
2385,5,2,2,1,99,2,4,66,5,13,0,5,4,1,1,1,0,1,1,3,23,0,50,50,50,70,100,70,60,60,1,70,85,1,70,70,50,100,1,50,1,2
2386,7,2,1,1,4,2,8,72,1,13,13,5,3,1,1,1,0,1,1,2,24,0,1,60,70,60,70,50,40,60,60,30,50,50,60,50,1,50,60,80,60,1
2387,7,1,1,1,4,1,5,50,4,14,0,1,0,2,3,4,4,1,1,2,14,0,50,95,85,70,100,40,50,60,50,40,60,80,100,70,1,60,50,80,80,1
2388,5,1,0,1,6,1,2,33,1,13,8,1,2,5,2,1,0,1,1,2,21,0,100,15,1,30,100,50,85,30,50,30,100,50,100,100,50,100,50,50,30,2
2389,6,3,4,1,4,1,5,32,1,12,13,1,0,1,1,1,0,1,1,2,23,0,100,1,50,50,70,50,50,100,60,50,50,1,100,100,70,100,1,85,15,2
2390,7,4,4,2,99,2,8,32,6,10,0,7,0,2,3,1,0,1,1,1,1,0,100,100,1,100,100,84,1,70,100,1,1,85,85,85,1,100,100,100,100,1
2391,2,3,2,1,99,1,2,35,1,9,13,1,2,5,2,1,0,1,1,2,23,0,70,50,30,60,50,40,70,60,50,60,50,50,100,50,50,100,15,50,50,2
2392,5,3,0,1,4,2,8,70,3,10,0,5,2,6,1,1,0,1,0,1,3,0,30,50,70,70,100,15,50,50,1,50,15,30,50,50,70,15,1,60,100,1
2393,7,2,1,1,2,2,6,26,6,13,9,1,3,1,1,1,0,1,1,1,12,0,35,95,90,50,100,15,40,60,100,65,50,100,50,80,1,95,100,100,95,1
2394,7,4,4,1,4,1,2,65,3,11,0,1,0,1,1,1,0,2,1,3,18,0,60,50,40,60,50,50,60,60,50,50,60,60,70,60,40,60,40,70,60,2
2395,5,3,0,1,3,1,5,29,6,13,0,1,0,0,1,1,0,1,1,1,7,0,40,75,40,60,50,60,65,50,80,65,40,30,90,80,50,90,80,85,40,2
2396,5,1,0,1,99,1,2,74,1,6,11,7,1,1,1,1,0,1,2,4,1,0,50,100,1,85,100,85,30,85,1,100,15,85,100,100,100,100,15,70,60,2
2397,7,2,0,1,4,1,5,36,1,13,10,1,3,1,2,1,0,1,1,2,21,0,14,98,85,61,81,72,39,68,72,38,71,62,59,79,38,98,63,92,6,1
2398,7,1,1,1,4,1,7,75,1,10,10,5,3,1,1,1,0,1,1,3,20,0,15,100,98,52,100,40,44,100,100,18,50,99,50,100,40,85,87,100,100,1
2399,7,2,1,1,99,1,2,0,4,14,0,1,0,0,1,1,0,1,1,2,0,0,0,69,50,99,97,15,47,50,84,14,86,0,83,91,0,71,87,98,76,1
2400,7,1,4,1,6,2,5,38,1,13,15,2,4,1,1,1,0,1,1,2,28,0,60,40,15,30,70,60,85,50,60,30,85,30,60,85,70,100,40,60,15,2
2401,7,1,0,1,2,2,8,60,1,14,10,1,0,1,1,1,0,1,1,2,23,0,30,85,70,70,50,40,30,70,70,40,50,60,15,70,15,60,50,100,40,1
2402,5,1,2,1,6,1,7,46,4,10,9,1,0,1,1,1,0,1,1,1,18,0,20,1,10,30,80,80,100,85,100,80,100,80,100,100,80,100,50,80,1,2
2403,7,2,1,1,4,2,8,37,1,9,9,1,1,5,1,1,0,2,1,2,9,0,0,0,0,0,82,0,0,0,86,55,18,70,74,73,0,51,78,77,70,1
2404,7,1,1,1,3,2,8,54,1,13,13,1,3,1,1,1,0,1,1,2,28,0,1,30,42,1,70,50,31,40,60,40,50,51,50,71,1,70,71,71,16,1
2405,6,1,1,1,99,1,0,58,4,0,0,0,0,0,1,1,0,2,2,1,0,0,50,100,85,100,0,60,30,70,0,60,0,0,100,0,15,100,0,100,100,1
2406,7,2,0,1,7,1,2,50,1,11,12,1,0,1,1,1,0,1,2,3,23,0,100,50,1,70,85,70,100,30,1,30,50,1,100,85,85,85,1,30,1,2
2407,4,3,0,1,5,1,1,23,6,10,0,1,0,1,1,1,0,1,1,4,6,0,50,50,50,60,50,50,50,70,50,50,50,50,85,50,0,100,50,80,50,2
2408,4,2,0,1,5,1,2,65,3,9,0,1,0,1,1,1,0,1,1,1,13,0,40,40,30,40,60,30,60,40,60,40,40,40,85,60,40,70,60,60,60,1
2409,7,2,1,1,6,1,1,59,6,13,0,1,0,1,1,1,0,1,1,3,15,0,92,73,30,62,51,62,70,34,14,71,71,32,100,70,61,97,15,63,16,2
2410,7,2,1,1,2,2,8,58,1,14,14,1,0,1,1,1,0,1,1,1,16,0,30,70,70,60,70,15,40,85,85,15,50,85,30,50,15,70,50,100,70,1
2411,7,4,1,1,1,1,4,41,1,14,14,1,0,1,1,1,0,1,1,2,26,0,30,90,100,70,85,40,15,80,90,40,50,90,70,90,50,70,85,90,60,1
2412,7,1,1,1,3,2,6,60,1,16,16,1,3,1,1,1,0,1,1,2,27,0,40,70,85,70,70,40,40,70,85,40,70,40,60,100,30,70,50,85,60,1
2413,7,1,0,1,4,1,1,54,6,13,0,1,3,1,1,1,0,1,1,2,13,0,50,85,60,65,71,30,69,86,89,51,45,84,100,89,52,85,85,92,50,1
2414,5,1,1,1,99,1,5,56,1,13,10,1,0,1,1,1,0,1,1,2,23,0,70,70,60,100,85,70,70,70,60,60,85,30,100,85,85,100,70,70,1,2
2415,6,2,4,1,3,2,8,37,1,13,12,1,3,1,1,1,0,1,1,2,24,0,5,70,60,60,85,5,30,55,85,5,40,85,40,85,10,60,50,100,70,1
2416,1,4,1,1,99,1,2,72,4,13,99,4,2,2,1,1,0,2,2,3,3,0,85,50,50,70,100,85,50,85,50,70,100,50,85,85,50,85,50,85,50,2
2417,7,1,1,1,1,1,2,32,1,14,15,1,3,2,1,1,0,1,1,2,27,0,55,85,90,82,81,50,35,34,51,58,50,53,60,55,13,4,50,77,91,1
2418,7,2,2,1,6,1,4,87,1,9,10,5,3,1,1,1,0,1,0,3,15,0,50,50,60,77,85,70,75,0,85,60,90,60,100,95,50,95,87,100,10,2
2419,7,1,0,1,2,1,1,62,4,14,0,1,0,1,1,1,0,1,1,1,10,0,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,1
2420,7,1,1,2,5,1,4,61,6,13,0,1,2,1,1,1,0,1,1,1,11,0,70,71,62,76,94,75,74,61,100,57,85,87,98,100,80,85,85,86,40,2
2421,1,4,0,1,5,2,2,32,1,12,13,1,3,3,3,4,4,1,1,2,25,0,60,70,40,15,70,15,70,70,85,15,70,60,70,70,40,100,85,85,15,2
2422,3,3,0,1,3,1,4,20,6,10,0,8,0,5,2,1,0,1,1,1,27,0,70,60,60,60,70,50,40,85,50,50,50,60,60,60,50,85,50,85,50,1
2423,7,2,2,1,6,1,4,73,1,10,14,5,3,1,2,1,0,1,1,2,26,0,70,42,1,42,69,71,100,62,51,60,72,50,83,71,85,92,51,70,1,2
2424,7,3,2,1,7,2,8,72,3,13,0,1,0,1,1,1,0,2,2,3,15,0,30,50,30,50,50,30,85,70,50,70,50,50,60,85,50,85,50,50,15,2
