Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,Vote
374,0,0,0,1,99,1,2,42,4,14,0,1,0,1,1,1,0,1,1,2,20,1
399,7,2,0,1,4,1,5,60,4,14,0,4,0,5,2,1,0,1,1,1,5,2
1357,7,4,0,1,99,1,1,53,4,11,0,1,1,1,1,1,0,2,1,1,7,2
1763,7,3,0,1,99,1,4,48,1,9,9,6,3,1,1,1,0,1,1,2,15,2
1314,7,1,0,1,5,1,4,78,1,10,10,5,3,1,1,1,0,1,0,3,12,1
2373,7,2,0,1,6,2,8,37,1,16,14,1,0,1,1,1,0,1,1,2,28,1
2186,5,4,0,1,99,2,7,26,6,10,10,1,0,5,1,1,0,1,1,1,7,1
1689,7,1,0,1,3,2,8,31,1,14,13,1,3,1,1,1,0,1,1,1,15,1
1843,0,0,0,1,3,2,8,23,6,9,0,1,0,1,1,1,0,1,1,1,9,1
1718,1,4,0,1,99,2,8,64,4,16,0,1,0,3,3,4,2,1,1,1,24,1
2020,4,3,0,1,3,1,5,62,4,11,0,1,2,1,1,1,0,2,2,1,5,2
1839,7,3,0,1,6,1,5,61,1,10,9,6,2,1,1,1,0,1,1,3,1,1
994,1,4,0,1,99,1,2,41,4,12,0,1,2,1,1,1,0,1,1,3,5,2
1482,0,0,0,1,4,1,4,31,6,13,0,1,0,1,1,1,0,1,1,2,17,2
1770,7,1,0,1,6,1,4,63,1,10,9,1,2,5,1,1,0,1,1,2,12,2
1917,3,4,0,1,4,1,7,19,1,13,14,7,0,1,1,1,0,1,1,2,27,2
2062,7,3,0,1,6,2,8,77,1,9,10,5,3,1,1,1,0,1,1,3,15,2
866,2,4,0,1,6,1,5,54,1,9,9,1,0,1,1,1,0,1,1,2,21,2
1222,5,2,0,1,6,1,5,28,6,14,13,1,3,1,1,1,0,1,1,1,17,2
925,5,3,0,1,99,2,4,61,4,9,0,1,2,1,1,1,0,1,1,1,13,1
1105,6,1,0,1,5,2,6,60,1,10,10,4,2,1,1,1,0,1,1,1,6,2
1065,7,3,0,1,6,1,2,46,6,6,0,4,1,1,1,1,0,2,1,1,3,2
213,1,4,0,1,4,2,1,25,6,11,0,1,2,1,1,1,0,1,1,4,4,2
2369,6,4,0,2,3,2,8,29,1,13,13,1,3,1,1,1,0,1,1,2,23,1
