Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
1242,7,1,0,1,6,1,1,79,1,9,9,5,3,1,1,1,0,1,0,3,11,0,100,85,100,85,100,50,85,85,50,70,85,50,100,85,85,100,50,100,50
1243,7,1,0,1,2,2,4,68,6,14,14,5,0,1,1,1,0,1,1,3,14,0,40,85,85,70,60,30,40,50,50,30,50,50,50,50,15,85,50,85,100
1244,3,3,0,1,2,2,8,26,6,13,13,8,3,1,3,1,0,1,1,1,10,0,15,70,70,60,70,40,50,70,85,30,40,60,50,85,15,70,85,100,70
1245,7,1,0,1,99,1,7,63,4,10,7,5,0,2,1,1,0,1,2,1,2,0,40,60,100,50,100,85,50,40,50,1,100,50,50,100,1,70,50,100,100
1246,7,1,2,1,7,1,4,54,4,13,0,1,0,1,1,1,0,1,1,1,9,0,50,1,1,1,100,50,100,50,50,30,50,50,100,100,100,100,40,1,1
1247,1,4,2,2,6,2,8,54,4,9,0,1,2,1,1,1,0,2,1,2,1,0,1,50,1,50,50,70,85,50,1,50,50,1,1,50,50,100,1,50,1
1248,3,4,0,1,4,2,4,46,1,13,13,1,3,1,1,1,0,1,1,2,22,0,60,50,50,50,70,40,50,50,50,40,30,50,50,50,50,85,50,70,50
1249,5,3,0,1,99,1,5,30,1,11,10,7,2,1,1,1,0,1,1,1,14,1,50,100,50,100,50,50,70,50,100,30,40,50,100,100,15,100,50,50,50
1250,7,1,0,1,4,1,2,40,1,13,10,1,2,2,3,4,4,1,1,1,8,0,70,51,71,61,71,71,42,61,50,60,61,40,99,69,51,51,51,61,60
1251,4,3,0,1,5,2,1,56,4,13,0,1,3,1,3,1,0,1,1,1,17,0,16,50,59,42,84,59,84,61,71,50,52,71,60,60,52,84,59,97,40
1252,7,2,0,1,3,2,1,50,1,14,13,1,0,1,1,1,0,1,1,2,27,0,20,50,60,50,60,35,40,60,50,15,50,50,70,75,10,70,30,80,35
1253,7,2,1,1,2,1,4,45,1,14,9,1,0,1,1,1,0,1,1,2,22,0,15,85,60,60,85,60,30,70,70,50,60,70,70,70,998,85,70,85,60
1254,4,3,4,1,99,1,1,28,1,9,9,4,2,1,1,1,0,1,1,1,1,0,94,3,50,80,70,48,30,61,4,46,2,49,100,80,32,100,3,68,60
1255,7,2,0,1,2,1,2,67,3,16,9,1,0,1,1,1,0,1,1,1,6,0,15,50,50,50,50,40,50,60,50,15,60,60,50,60,1,70,50,70,40
1256,7,3,0,1,99,1,1,74,3,12,0,1,0,1,1,1,0,2,0,3,12,0,50,50,0,70,70,40,50,50,50,50,15,50,70,50,50,70,50,70,15
1257,7,1,4,1,7,1,4,78,1,9,8,5,0,1,1,1,0,1,2,3,8,0,99,51,17,51,85,70,99,62,60,60,85,61,99,100,99,100,40,71,1
1258,7,2,0,1,2,2,8,47,1,11,9,1,2,1,1,1,0,1,1,2,19,0,1,100,85,60,100,1,1,40,100,1,50,85,15,100,1,85,100,85,70
1259,4,4,1,1,3,2,8,25,6,10,0,2,2,3,2,1,0,1,1,4,12,0,50,75,50,75,75,30,50,50,100,50,30,85,50,100,50,50,100,85,50
1260,4,2,2,1,6,2,1,35,1,10,10,1,2,1,1,1,0,1,1,2,12,0,1,50,40,59,0,61,97,58,99,61,50,62,30,0,0,98,98,0,1
1261,3,3,4,1,4,1,8,51,3,14,0,1,3,1,1,1,0,1,1,2,23,0,50,50,70,85,100,85,70,85,85,40,85,100,100,100,40,85,85,85,85
1262,7,2,0,1,1,2,6,28,1,14,14,1,0,1,1,1,0,1,1,2,27,0,10,100,85,85,100,60,40,60,100,5,50,80,50,80,1,75,100,100,90
1263,7,3,0,1,2,2,8,39,4,14,0,1,3,3,3,1,0,1,1,2,5,0,15,85,85,100,100,15,15,85,100,30,40,100,100,100,1,70,100,100,100
1264,5,3,2,1,5,1,2,20,6,12,0,1,0,1,1,1,0,1,1,4,26,0,100,15,40,70,85,60,70,0,50,40,50,50,100,70,70,60,50,30,40
1265,6,4,0,1,99,1,4,84,3,10,0,5,0,1,1,1,0,2,1,4,5,0,50,50,50,50,70,50,50,60,50,60,50,50,70,70,50,70,50,50,40
1266,7,3,0,1,6,1,4,41,1,13,13,7,0,1,1,1,0,1,1,2,27,0,50,15,20,25,50,60,75,40,50,10,50,50,75,50,75,90,50,50,15
1267,6,1,2,1,6,1,4,83,1,13,14,5,0,1,1,1,0,1,2,3,18,0,50,1,15,1,85,60,85,60,50,40,60,15,85,85,70,85,15,70,1
1268,7,1,0,1,2,1,1,57,1,16,13,1,0,1,1,1,0,1,1,3,27,0,61,100,100,98,100,47,61,100,100,29,70,100,100,100,27,96,100,100,100
1269,0,0,2,1,99,2,8,84,3,7,0,5,0,1,2,1,0,2,0,3,0,0,50,50,50,50,70,50,50,50,50,50,50,50,50,50,50,1,50,50,50
1270,5,3,4,1,4,2,4,39,6,14,13,1,0,1,1,1,0,1,1,2,16,0,15,1,30,100,50,1,60,15,100,15,15,30,50,15,1,100,100,50,1
1271,7,2,0,1,3,1,5,22,6,13,0,1,3,1,1,1,0,1,1,4,24,0,85,60,70,50,70,40,70,70,100,70,60,85,100,100,60,70,85,85,85
1272,7,2,4,1,3,2,4,26,6,13,0,1,3,1,1,1,0,1,1,1,15,0,1,18,50,53,66,50,53,59,57,2,52,60,52,49,1,63,59,100,62
1273,5,3,1,1,4,1,2,68,1,14,11,5,3,1,1,1,0,1,2,3,1,0,71,51,61,63,86,44,52,51,51,52,52,52,100,73,41,88,31,71,51
1274,7,3,1,1,3,1,5,48,6,13,0,6,0,1,1,1,0,1,1,1,17,0,30,1,85,1,50,70,1,70,100,60,60,998,50,50,15,85,50,100,50
1275,7,3,0,1,6,1,2,77,1,9,10,5,2,1,1,1,0,1,2,3,15,0,100,30,15,15,50,50,70,40,40,30,50,50,100,70,60,85,30,50,1
1276,7,2,0,1,4,1,1,48,5,11,11,1,0,1,1,1,0,1,1,2,16,0,51,53,95,97,71,96,49,96,1,50,49,1,52,51,96,98,1,51,48
1277,5,2,2,1,5,2,4,54,4,9,12,1,3,1,1,1,0,1,1,2,19,0,51,51,53,51,51,76,76,41,87,3,61,52,93,51,32,100,51,100,9
1278,7,2,1,1,99,1,2,47,6,10,0,6,1,2,1,1,0,2,1,1,3,0,50,100,85,50,100,50,50,60,100,30,50,50,100,50,50,40,100,50,100
1279,2,4,4,1,2,1,5,45,5,10,0,6,1,1,1,1,0,1,1,1,3,0,40,70,70,998,70,60,40,60,50,70,85,998,70,998,50,85,998,70,40
1280,7,2,1,1,99,1,4,30,6,9,0,6,0,2,1,1,0,1,1,4,11,0,100,60,51,51,99,51,61,50,50,60,51,51,100,51,51,61,51,86,100
1281,7,1,1,1,4,1,4,72,4,11,0,5,0,2,1,1,0,2,0,1,3,0,40,85,60,60,85,30,50,70,60,50,70,70,70,85,50,50,60,85,85
1282,7,2,0,1,99,1,4,53,4,9,0,1,2,5,1,1,0,1,1,1,5,0,50,50,50,60,70,60,70,85,70,70,50,50,85,50,50,50,60,70,50
1283,5,3,0,1,99,2,8,58,4,10,0,1,2,1,1,1,0,1,1,2,22,0,50,50,50,60,60,40,50,50,50,30,30,50,50,50,50,85,50,50,50
1284,5,2,0,1,2,2,8,48,4,13,90,1,0,1,1,1,0,1,1,2,23,0,30,100,70,60,65,25,30,65,70,15,40,50,50,55,15,80,80,100,80
1285,7,1,2,1,6,2,8,70,1,14,10,1,3,1,1,1,0,1,1,2,15,0,60,31,1,31,60,51,85,31,69,16,51,16,70,84,60,85,51,70,1
1286,3,3,2,1,4,1,1,57,4,13,0,1,3,1,1,1,0,1,1,2,0,0,85,30,15,30,85,70,100,40,50,15,85,60,100,100,60,100,40,85,60
1287,5,3,0,1,1,2,6,22,6,13,0,1,4,1,1,1,0,1,1,1,3,0,1,85,100,50,40,40,1,90,100,30,75,50,10,100,1,85,85,100,70
1288,7,1,0,2,2,2,8,44,1,12,9,1,0,1,1,1,0,1,1,1,20,0,1,100,100,85,100,40,15,60,100,15,30,100,30,100,1,100,100,100,85
1289,2,4,0,1,3,2,8,31,6,14,0,1,3,1,2,1,0,1,1,2,20,0,28,72,85,99,69,23,54,69,100,53,52,85,48,93,11,83,93,98,49
1290,7,1,0,1,6,1,2,66,1,8,11,5,3,1,1,1,0,1,1,3,15,0,80,30,50,998,998,75,75,75,998,60,998,50,75,998,80,80,998,90,20
1291,6,3,1,1,4,1,3,58,6,13,0,1,0,2,1,1,0,1,1,2,15,0,36,87,75,72,85,48,14,68,68,61,46,67,93,98,1,49,70,80,98
1292,7,2,0,1,2,1,8,57,4,10,0,6,1,1,1,1,0,1,1,4,2,0,50,100,100,100,100,30,1,50,100,50,50,100,70,50,1,100,100,100,100
1293,7,1,4,1,2,2,5,59,3,13,0,4,0,1,1,1,0,1,1,2,23,0,15,70,70,60,50,50,40,60,50,1,30,50,50,50,15,70,50,85,30
1294,7,1,0,1,2,1,1,57,6,10,0,1,2,1,1,1,0,1,1,2,16,0,1,80,85,85,70,1,20,70,80,1,10,75,50,75,1,50,75,70,75
1295,7,4,1,1,99,1,1,75,3,9,0,5,0,2,1,7,1,1,2,3,0,0,85,40,86,85,85,85,70,85,40,71,85,87,100,70,85,85,30,70,100
1296,5,3,0,1,4,1,5,45,1,13,9,1,3,2,1,1,0,1,1,2,21,0,85,15,50,50,50,40,40,60,85,40,30,50,100,85,40,70,50,70,50
1297,6,3,0,1,6,1,2,48,1,10,12,1,2,1,1,1,0,1,1,3,19,0,998,50,70,40,85,85,85,70,85,50,85,50,85,85,70,85,998,85,30
1298,7,1,0,1,4,1,3,50,1,13,10,1,2,2,1,1,0,1,1,2,16,0,100,50,50,70,100,85,100,100,100,70,100,100,100,50,50,100,100,100,100
1299,5,4,0,1,6,1,1,18,6,8,0,1,3,1,1,1,0,1,1,4,22,0,50,40,60,30,100,60,70,50,60,40,70,70,100,100,50,85,60,100,40
1300,7,3,1,1,2,2,8,25,6,10,14,7,2,1,1,1,0,1,1,4,7,0,16,3,63,62,44,18,18,63,73,1,5,88,13,69,1,72,74,96,44
1301,7,2,1,1,2,1,4,54,5,5,0,1,3,5,3,4,3,1,1,1,7,0,998,85,85,85,85,70,60,70,70,60,60,50,85,70,30,85,70,100,999
1302,7,3,4,1,3,2,8,68,1,14,14,5,0,5,3,4,4,1,1,3,0,0,15,50,50,50,60,70,30,40,50,1,50,50,15,50,1,60,50,85,50
1303,4,3,4,1,0,1,1,0,4,10,0,6,0,1,2,1,0,1,2,1,0,0,85,85,60,50,100,70,100,70,85,50,50,60,100,100,50,85,85,100,85
1304,7,2,0,1,6,2,8,65,1,11,10,5,0,1,1,1,0,1,1,3,1,0,50,50,40,30,50,70,85,60,50,17,70,30,50,50,70,50,15,1,1
1305,4,2,2,1,5,1,4,46,1,14,14,1,4,1,1,1,0,1,1,2,28,0,0,85,40,85,100,60,50,50,85,15,100,70,85,100,0,100,85,85,85
1306,5,4,0,1,99,1,2,55,4,9,0,1,1,1,2,4,1,1,1,2,11,0,85,50,50,70,100,70,70,100,50,85,60,15,100,70,85,100,50,100,60
1307,7,3,4,1,3,2,8,39,1,10,11,1,0,1,1,1,0,1,1,2,19,0,1,74,80,99,62,55,30,73,65,39,60,61,1,59,85,61,63,93,74
1308,7,3,0,2,4,1,1,29,6,11,10,1,0,2,2,4,2,1,1,1,1,0,85,85,85,85,85,85,40,85,60,50,50,85,100,60,50,85,50,100,85
1309,4,2,1,1,2,1,2,35,6,14,0,1,2,6,1,1,0,1,1,1,14,0,50,85,85,50,100,50,1,70,100,1,50,100,85,100,1,85,85,85,100
1310,7,1,1,1,2,2,6,75,3,12,0,5,3,1,1,1,0,1,2,3,11,0,15,85,85,60,100,30,30,70,100,40,50,85,50,100,1,60,85,85,60
1311,7,3,1,1,3,1,7,47,4,13,0,1,0,6,2,4,1,1,1,2,14,0,40,70,70,60,50,40,50,60,85,40,50,60,85,85,30,85,85,70,60
1312,7,5,0,1,6,2,8,0,1,13,10,5,3,1,1,1,0,1,2,2,23,0,50,49,16,15,59,62,60,50,40,1,39,1,49,61,61,70,15,51,16
1313,6,2,2,1,6,2,8,78,1,16,16,5,3,3,3,4,2,1,0,3,28,0,50,50,30,50,50,50,50,50,31,50,50,41,50,50,50,65,30,50,16
1314,7,1,0,1,5,1,4,78,1,10,10,5,3,1,1,1,0,1,0,3,12,4,51,32,50,16,60,17,62,33,62,50,62,62,87,71,18,85,60,42,86
1315,7,2,0,1,3,2,1,43,4,13,10,1,0,1,1,1,0,1,1,3,22,0,40,40,60,60,100,70,40,60,50,50,30,100,85,100,15,60,100,100,30
1316,7,1,1,1,2,2,8,67,6,14,0,5,0,1,1,1,0,1,1,2,22,0,1,77,71,71,50,14,51,69,77,14,50,49,51,52,1,69,51,91,68
1317,7,1,1,1,1,2,8,33,1,13,13,1,3,1,1,1,0,1,1,2,18,0,1,70,80,60,80,1,10,50,90,25,60,80,25,70,1,40,100,90,90
