Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
1308,0,100,85,100,85,100,50,85,85,50,70,85,50,100,85,85,100,50,100,50
1309,0,40,85,85,70,60,30,40,50,50,30,50,50,50,50,15,85,50,85,100
1310,0,15,70,70,60,70,40,50,70,85,30,40,60,50,85,15,70,85,100,70
1311,0,40,60,100,50,100,85,50,40,50,1,100,50,50,100,1,70,50,100,100
1312,0,50,1,1,1,100,50,100,50,50,30,50,50,100,100,100,100,40,1,1
1313,0,1,50,1,50,50,70,85,50,1,50,50,1,1,50,50,100,1,50,1
1314,0,60,50,50,50,70,40,50,50,50,40,30,50,50,50,50,85,50,70,50
1315,1,50,100,50,100,50,50,70,50,100,30,40,50,100,100,15,100,50,50,50
1316,0,70,51,71,61,71,71,42,61,50,60,61,40,99,69,51,51,51,61,60
1317,0,16,50,59,42,84,59,84,61,71,50,52,71,60,60,52,84,59,97,40
1318,0,20,50,60,50,60,35,40,60,50,15,50,50,70,75,10,70,30,80,35
1319,0,15,85,60,60,85,60,30,70,70,50,60,70,70,70,998,85,70,85,60
1320,0,94,3,50,80,70,48,30,61,4,46,2,49,100,80,32,100,3,68,60
1321,0,15,50,50,50,50,40,50,60,50,15,60,60,50,60,1,70,50,70,40
1322,0,50,50,0,70,70,40,50,50,50,50,15,50,70,50,50,70,50,70,15
1323,0,99,51,17,51,85,70,99,62,60,60,85,61,99,100,99,100,40,71,1
1324,0,1,100,85,60,100,1,1,40,100,1,50,85,15,100,1,85,100,85,70
1325,0,50,75,50,75,75,30,50,50,100,50,30,85,50,100,50,50,100,85,50
1326,0,999,50,50,40,60,30,50,60,50,50,50,50,70,60,50,70,40,50,30
1327,0,1,50,40,59,0,61,97,58,99,61,50,62,30,0,0,98,98,0,1
1328,0,50,50,50,70,60,40,50,50,50,50,40,50,60,50,50,70,50,70,50
1329,0,50,50,70,85,100,85,70,85,85,40,85,100,100,100,40,85,85,85,85
1330,0,10,100,85,85,100,60,40,60,100,5,50,80,50,80,1,75,100,100,90
1331,0,15,85,85,100,100,15,15,85,100,30,40,100,100,100,1,70,100,100,100
1332,0,100,15,40,70,85,60,70,0,50,40,50,50,100,70,70,60,50,30,40
1333,0,50,50,50,50,70,50,50,60,50,60,50,50,70,70,50,70,50,50,40
