Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1,3,4,2,1,99,1,2,29,1,9,-8,1,3,1,1,1,-1,1,1,3,13,-1,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,2
2,7,1,4,1,5,2,8,26,6,13,-1,1,-1,1,1,1,-1,1,2,4,17,-1,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,2
3,3,4,-1,1,99,2,8,23,6,9,-1,1,2,1,1,1,-1,1,1,1,6,-1,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,-1
4,7,2,-1,1,99,1,2,58,1,9,13,1,3,1,1,1,-1,1,2,3,20,-1,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,-1
5,5,3,-1,1,4,1,7,38,4,9,-1,1,-1,1,1,1,-1,2,2,1,3,-1,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,4
6,7,1,4,1,6,1,4,60,2,14,14,1,4,1,1,1,-1,1,1,2,1,-1,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,2
7,3,3,1,1,99,1,5,58,1,5,9,1,-1,2,3,4,3,1,1,2,22,-1,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,1
8,7,1,2,1,5,1,4,56,3,9,9,1,2,1,1,1,-1,1,1,2,28,-1,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,2
9,7,2,-1,1,4,2,2,45,5,9,-1,1,2,6,1,1,-1,1,1,1,12,-1,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,-1
10,7,4,-1,1,3,1,5,30,1,10,13,1,-1,1,1,1,-1,1,1,2,19,-1,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,3
11,1,4,2,1,99,1,2,40,4,7,6,1,-1,1,1,1,-1,1,1,3,11,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
12,7,1,1,1,2,1,1,86,3,10,-1,5,-1,1,2,1,-1,1,-1,3,14,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
13,7,1,4,1,4,1,5,30,6,13,11,1,2,5,3,4,-8,1,1,1,24,-1,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,3
14,7,1,-1,1,99,1,5,67,1,12,9,1,3,1,1,1,-1,1,2,1,14,-1,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0,2
15,7,1,-1,1,2,1,1,62,4,14,-1,1,-1,1,1,1,-1,1,1,1,10,-1,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,1
16,0,-1,-1,1,99,1,1,51,6,9,-1,6,1,1,1,1,-1,2,-1,1,3,-1,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50,-1
17,7,1,1,1,2,2,4,46,1,14,13,1,4,5,2,1,-1,1,1,2,27,-1,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,1
18,6,2,2,1,6,2,8,70,4,13,-1,5,3,1,1,1,-1,1,1,2,16,-1,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,2
19,7,1,1,1,3,2,4,30,1,14,14,1,3,1,1,1,-1,1,1,2,26,-1,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100,1
20,7,2,-1,1,99,1,4,67,1,10,10,5,3,1,1,1,-1,1,1,3,22,-1,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70,-1
21,4,3,1,1,5,1,4,66,3,9,-1,5,3,1,1,1,-1,1,1,3,20,-1,60,50,60,85,100,50,85,85,50,60,60,40,85,50,85,70,50,50,40,-1
22,7,2,2,2,3,2,8,32,6,12,-1,1,-1,1,1,1,-1,1,1,1,3,-1,10,40,70,75,50,40,60,90,100,60,90,40,50,90,40,100,90,90,10,2
23,2,4,2,1,99,2,1,56,1,10,9,1,3,1,1,1,-1,1,2,2,-9,-1,998,50,60,50,85,15,40,50,70,40,15,50,100,70,50,100,70,85,85,1
24,7,3,1,1,6,1,1,65,3,14,-1,5,-1,1,1,1,-1,1,1,3,15,-1,70,40,40,40,60,60,70,60,40,40,70,60,85,85,40,85,30,60,40,2
25,7,2,1,1,7,1,8,61,1,8,9,1,2,6,1,1,-1,1,1,1,13,-1,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15,2
26,5,4,-1,2,99,2,5,34,6,7,-1,1,-1,4,1,1,-1,2,1,1,9,-1,999,50,50,70,100,60,999,50,50,50,60,0,60,50,85,100,50,70,50,-1
27,7,3,-1,1,2,1,4,68,4,13,-1,1,3,1,2,1,-1,1,1,1,-9,-1,60,60,70,50,70,60,40,50,85,40,70,85,85,85,999,85,70,50,70,-1
28,7,4,-1,1,99,1,2,25,6,9,9,1,-1,1,1,1,-1,1,1,1,17,-1,85,50,50,50,100,60,50,40,100,60,100,50,85,100,50,100,100,100,50,-9
29,7,1,1,1,2,1,4,73,1,14,14,5,3,1,1,1,-1,1,-1,3,17,-1,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85,1
30,7,3,1,1,4,1,5,67,1,9,10,5,-1,1,1,1,-1,1,1,2,22,-1,85,60,40,60,60,40,70,60,40,60,50,60,100,70,50,100,15,70,50,-1
31,6,3,-8,1,2,2,5,35,1,14,12,1,-1,1,2,1,-1,1,1,2,22,-1,15,70,60,70,100,40,40,85,100,70,85,100,85,100,50,85,100,70,85,-1
32,7,1,2,1,6,1,5,64,1,13,10,1,3,1,1,1,-1,1,1,2,24,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
33,4,2,2,1,6,1,5,73,1,10,12,5,-1,1,1,1,-1,1,1,3,-9,-1,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50,2
34,7,1,-1,1,7,1,4,69,1,13,12,5,3,1,2,1,-1,1,2,2,17,-1,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0,2
35,5,4,4,1,4,1,2,41,5,13,-1,1,2,1,1,1,-1,1,2,2,11,-1,85,40,50,40,100,50,60,50,50,50,50,100,100,50,50,40,50,50,50,-1
36,7,2,-1,1,2,1,2,67,3,16,9,1,-1,1,1,1,-1,1,1,1,6,-1,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40,1
37,7,3,-1,2,99,1,8,59,6,9,-1,4,-1,1,1,1,-1,1,1,2,7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
38,7,2,2,1,4,1,5,54,1,11,11,1,-1,1,1,1,-1,1,1,2,21,-1,60,40,50,30,40,50,40,40,0,40,60,0,60,60,50,30,0,30,0,2
39,7,5,4,1,4,2,8,48,4,4,-1,6,3,5,1,1,-1,1,1,1,5,-1,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70,-1
40,5,3,-1,1,2,1,5,26,6,10,-1,1,2,2,1,1,-1,1,1,4,21,-1,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100,1
